# Base attributes derived from data provider resources (BAFU, Swisstopo, etc.).
gauge_id;country;gauging_st;water_body;type;id6;id12;shape_leng;shape_area;super_catc;sub_catchm;h1;h2;ext_ch;ext_de;ext_at;ext_li;ext_it;ext_fr;ext_r1981;ext_tabs;ext_srel;ext_sim;ext_r1992
2232;CH;Adelboden;Allenbach;stream;AllAde;608710148300;23780.2350855;2.8789154357e7;0;1;252;253;100.0;0.0;0.0;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0
2239;CH;Punt dal Gall;Spöl;stream;SpoPun;811020167920;104918.191794;2.94612950841e8;0;1;445;446;15.97;0.0;0.0;0.0;84.03;0.0;99.79;60.42;60.08;99.79;99.79
2243;CH;Baden, Limmatpromenade;Limmat;stream;LimBad;665640258690;362322.057495;2.39367093903e9;1;1;367;394;100.0;0.0;0.0;0.0;0.0;0.0;99.43;99.43;99.43;99.39;99.43
2244;CH;Klusmatten;Krummbach;stream;KruKlu;644500119420;22930.7996965;1.9437696998e7;0;1;462;463;100.0;0.0;0.0;0.0;0.0;0.0;92.6;92.6;92.6;92.6;92.6
2247;CH;Sortie du lac des Brenets;Douds;stream;DouSor;544560214880;249212.346554;8.67391783547e8;1;1;225;228;7.55;0.0;0.0;0.0;0.0;92.45;34.24;34.24;31.59;99.96;100.0
2251;CH;Plaffeien, Schwyberg;Rotenbach;stream;RotPla;587980170590;5477.96627514;1.68949564264e6;0;1;266;267;100.0;0.0;0.0;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0
2252;CH;Plaffeien, Schwyberg;Schwändlibach;stream;SchPla;588340171015;4898.93909694;1.37642393079e6;0;1;268;269;100.0;0.0;0.0;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0
2256;CH;Pontresina;Rosegbach;stream;RosPon;788810151690;40924.042862;6.65321281509e7;0;1;441;442;99.96;0.0;0.0;0.0;0.04;0.0;100.0;100.0;100.0;100.0;100.0
2262;CH;Pontresina;Berninabach;stream;BerPon;789440151320;50597.4906119;1.06917935093e8;0;1;429;430;99.95;0.0;0.0;0.0;0.05;0.0;94.69;94.69;94.69;94.69;94.69
2263;CH;La Punt-Chamues-ch;Chamuerabach;stream;ChaLaP;791430160600;39308.4976166;7.33573785911e7;0;1;427;428;99.95;0.0;0.0;0.0;0.05;0.0;100.0;100.0;100.0;100.0;100.0
2265;CH;Tarasp;Inn;stream;InnTar;816800185910;250075.575185;1.58077104203e9;1;1;424;451;84.32;0.0;0.0;0.0;15.68;0.0;99.89;92.55;92.49;99.89;99.89
2268;CH;Gletsch;Rhone (Rotten);stream;RhoGle;670810157200;34811.3601738;3.94151635917e7;0;1;582;583;100.0;0.0;0.0;0.0;0.0;0.0;98.95;98.95;98.95;98.95;98.95
2269;CH;Blatten;Lonza;stream;LonBla;629130140910;41314.0143573;7.737250604e7;0;1;595;596;100.0;0.0;0.0;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0
2270;CH;Combe des Sarrasins;Doubs;stream;DouCom;557530227320;287000.408903;9.98522561538e8;1;1;559;614;15.93;0.0;0.0;0.0;0.0;84.07;42.86;42.86;40.56;99.95;100.0
2276;CH;Isenthal;Grosstalbach;stream;GroIse;685500196050;36017.1679662;4.38670534456e7;0;1;350;351;100.0;0.0;0.0;0.0;0.0;0.0;98.02;98.02;98.02;98.02;98.02
2282;CH;Wasen, Kurzeneialp;Sperbelgraben;stream;SpeWas;630725207270;3051.63511518;563659.901491;0;1;286;287;100.0;0.0;0.0;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0
2283;CH;Wasen, Riedbad;Rappengraben;stream;RapWas;634340207350;2947.22372051;605368.673596;0;1;294;295;100.0;0.0;0.0;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0
2288;CH;Neuhausen, Flurlingerbrücke;Rhein;stream;RheNeu;689145281975;1.06119075129e6;1.18822321372e10;1;1;10;157;47.78;30.37;20.06;1.35;0.44;0.0;100.0;56.17;55.69;99.25;100.0
2289;CH;Basel, Rheinhalle;Rhein;stream;RheBas;613400267650;1.50805829482e6;3.58320988139e10;1;1;4;411;77.49;14.89;6.65;0.45;0.15;0.37;99.98;81.79;81.59;99.66;99.98
2290;CH;St-Sulpice;Areuse;stream;AreStS;532980195880;76619.1766605;1.04062922877e8;0;1;548;549;93.92;0.0;0.0;0.0;0.0;6.08;99.94;99.94;99.94;99.94;99.94
2299;CH;Erstfeld, Bodenberg;Alpbach;stream;AlpErs;688560185120;20802.7058278;2.06828002934e7;0;1;347;348;100.0;0.0;0.0;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0
2300;CH;Euthal, Rüti;Minster;stream;MinEut;704425215310;36635.8449001;5.91306648864e7;0;1;152;153;100.0;0.0;0.0;0.0;0.0;0.0;98.09;98.09;98.09;98.09;98.09
2303;CH;Jonschwil, Mühlau;Thur;stream;ThuJon;723675252720;126183.880552;4.929254135e8;1;1;165;170;100.0;0.0;0.0;0.0;0.0;0.0;99.81;99.81;99.81;99.81;99.81
2304;CH;Zernez, Punt la Drossa;Ova dal Fuorn;stream;OdFZer;810560170790;38499.4104883;5.5253279724e7;0;1;447;448;100.0;0.0;0.0;0.0;0.0;0.0;95.92;95.92;95.92;97.73;95.92
2305;CH;Herisau, Zellersmühle;Glatt;stream;GlaHer;737270251290;19630.7510924;1.67222155772e7;0;1;104;107;100.0;0.0;0.0;0.0;0.0;0.0;95.68;95.68;95.68;95.68;95.68
2307;CH;Sonceboz;Suze;stream;SuzSon;579810227350;76500.7424764;1.27245197287e8;0;1;232;233;100.0;0.0;0.0;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0
